id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type
292345, now here comes the frog and he's gonna eat him up yum yum yum yum yum yum ,now here come the frog and he go eat him up yum yum yum yum yum yum,,,declarative,eng,21,17,66,Valian,adv adv v det:art n coord pro:sub part v pro:obj adv co co co co co co,FAT,NA,Father,NA,21.82180332245015,female,NA,NA,NA,Eng-NA,2,33,1707,1704,3313,22,frog,ADS,froggy_frog,1,other
292598, here's the frog and the lobster and the centipede and another spider ,here the frog and the lobster and the centipede and another spider,,,declarative,eng,13,12,82,Valian,pro:exist det:art n coord det:art n coord det:art n coord qn n,FAT,NA,Father,NA,21.82180332245015,female,NA,NA,NA,Eng-NA,2,33,1707,1704,3313,22,frog,ADS,froggy_frog,1,other
301177, a frog ,a frog,,,declarative,eng,2,2,614,Valian,det:art n,MOT,NA,Mother,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3312,22,frog,ADS,froggy_frog,1,other
306977, the new frog and toad book ,the new frog and toad book,,,question,eng,6,6,913,Valian,det:art adj n coord n n,MOT,NA,Mother,NA,22.493275015914083,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3314,22,frog,ADS,froggy_frog,1,other
309267, yeah and it's a frog ,yeah and it a frog,,,declarative,eng,6,5,286,Valian,co coord pro:per det:art n,CHI,NA,Target_Child,NA,30.42772952216678,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3329,30,frog,ADS,froggy_frog,1,child
309287, where's the frog ,where the frog,,,question,eng,4,3,287,Valian,pro:int det:art n,MOT,NA,Mother,NA,30.42772952216678,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3329,30,frog,ADS,froggy_frog,1,other
312912, frog on a rock ,frog on a rock,,,declarative,eng,4,4,212,Valian,n prep det:art n,CHI,NA,Target_Child,NA,28.756237294400297,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3333,29,frog,ADS,froggy_frog,1,child
326434, that little girl is feeling the frog ,that little girl be feel the frog,,,declarative,eng,9,7,575,Valian,det:dem adj n aux part det:art n,CHI,NA,Target_Child,NA,29.000595494774018,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3341,29,frog,ADS,froggy_frog,1,child
326450, that little girl is feeling a frog ,that little girl be feel a frog,,,declarative,eng,9,7,576,Valian,det:dem adj n aux part det:art n,MOT,NA,Mother,NA,29.000595494774018,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3341,29,frog,ADS,froggy_frog,1,other
326634, look frog ,look frog,,,declarative,eng,2,2,30,Valian,v n,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3348,28,frog,ADS,froggy_frog,1,child
326647, frog ,frog,,,declarative,eng,1,1,31,Valian,n,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3348,28,frog,ADS,froggy_frog,1,child
326661, frog ,frog,,,question,eng,1,1,32,Valian,n,MOT,NA,Mother,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3348,28,frog,ADS,froggy_frog,1,other
353032, a frog ,a frog,,,imperative_emphatic,eng,2,2,115,Clark,det:art n,INV,Cindy,Investigator,Shem,29.756257828702847,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3413,30,frog,ADS,froggy_frog,1,other
353067, you have a frog on your pants ,you have a frog on your pants,,,question,eng,7,7,117,Clark,pro:per v det:art n prep det:poss n:pt,INV,Cindy,Investigator,Shem,29.756257828702847,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3413,30,frog,ADS,froggy_frog,1,other
353168, and those are your pants but see my pants don't have a frog on them ,and those be your pants but see my pants do have a frog on them,,,declarative,eng,17,15,123,Clark,coord pro:dem cop det:poss n:pt conj v det:poss n:pt mod v det:art n prep pro:obj,INV,Cindy,Investigator,Shem,29.756257828702847,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3413,30,frog,ADS,froggy_frog,1,other
353248, no frog on the other pocket oh well ,no frog on the other pocket oh well,,,declarative,eng,8,8,127,Clark,qn n prep det:art qn n co co,INV,Cindy,Investigator,Shem,29.756257828702847,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3413,30,frog,ADS,froggy_frog,1,other
354164, the frogs will go away if he goes swimming ,the frog will go away if he go swim,,,question,eng,12,9,499,Clark,det:art n mod v adv conj pro:sub v part,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,frog,ADS,froggy_frog,1,other
355782, okay frog where are you ,okay frog where be you,,,question,eng,6,5,419,Clark,co n pro:rel cop pro:per,INV,Cindy,Investigator,Shem,29.29628945152878,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3409,29,frog,ADS,froggy_frog,1,other
355827, no that's a people find a frog ,no that a person find a frog,,,declarative,eng,9,7,421,Clark,co pro:dem det:art n v det:art n,CHI,Shem,Target_Child,Shem,29.29628945152878,male,NA,NA,NA,Eng-NA,2,35,1741,1741,3409,29,frog,ADS,froggy_frog,1,child
355870, that's a people finding a frog ,that a person find a frog,,,declarative,eng,9,6,423,Clark,pro:dem det:art n part det:art n,CHI,Shem,Target_Child,Shem,29.29628945152878,male,NA,NA,NA,Eng-NA,2,35,1741,1741,3409,29,frog,ADS,froggy_frog,1,child
355892, they're finding a frog ,they find a frog,,,question,eng,6,4,424,Clark,pro:sub part det:art n,INV,Cindy,Investigator,Shem,29.29628945152878,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3409,29,frog,ADS,froggy_frog,1,other
