,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,330487, good night bunny ,good night bunny,,,declarative,eng,3.0,3,220,Bernstein,adj n n,MOT,,Mother,Cindy,24.000492823261258,female,717.572,718.826,s,Eng-NA,2,34,1725,1723,3360,24,goodnight,ADS,night night_goodnight,1,other,(NP (JJ good) (NN night) (NN bunny))
1,331626, good night ,good night,,,declarative,eng,2.0,2,776,Valian,adj n,INV,,Investigator,,29.690548060535125,female,,,,Eng-NA,2,33,1706,1704,3340,30,goodnight,ADS,night night_goodnight,1,other,(NP (JJ good) (NN night))
2,332296, good night ,good night,,,declarative,eng,2.0,2,185,Bernstein,adj n,MOT,,Mother,Dale,21.0004312203536,female,1078.85,1079.477,s,Eng-NA,2,34,1727,1724,3363,21,goodnight,ADS,night night_goodnight,1,other,(NP (JJ good) (NN night))
3,347037, good night moon ,Good night Moon,,,declarative,eng,3.0,3,46,Bernstein,n:prop n n:prop,MOT,,Mother,,21.0004312203536,,,,,Eng-NA,2,34,1721,1720,3389,21,goodnight,ADS,night night_goodnight,1,other,(NP (NP (JJ Good) (NN night)) (NP (NN Moon)))
4,353456, the clock go go round and good night and a go up the xxx in there and the wind blows the door open ,the clock go round and good night and a go up the in there and the wind blow the door open,,,declarative,eng,22.0,23,332,Clark,det:art n v adv coord adj n coord det:art v adv det:art prep n coord det:art n v det:art n adj,CHI,Shem,Target_Child,Shem,28.821947062568015,male,,,,Eng-NA,2,35,1741,1741,3407,29,goodnight,ADS,night night_goodnight,1,child,(S (S (S (NP (DT the) (NN clock)) (VP (VBP go) (ADVP (RB round)))) (CC and) (NP (NP (JJ good) (NN night)) (CC and) (NP (DT a) (VP (VB go) (IN up) (DT the) (RB in) (RB there))))) (CC and) (S (NP (DT the) (NN wind)) (VP (VBP blow) (NP (DT the) (NN door)) (S (ADJP (JJ open))))))
5,375276, good night ,good night,,,declarative,eng,2.0,2,727,Clark,adj n,INV,Cindy,Investigator,Shem,33.03353251606809,male,,,,Eng-NA,2,35,1743,1741,3425,33,goodnight,ADS,night night_goodnight,1,other,(NP (JJ good) (NN night))
6,380179, good night little froggie ,good night little frog,,,declarative,eng,5.0,4,233,Clark,adj n adj n,INV,Cindy,Investigator,Shem,36.42785272798209,male,,,,Eng-NA,2,35,1743,1741,3442,36,goodnight,ADS,night night_goodnight,1,other,(NP (NML (JJ good) (NN night)) (JJ little) (NN frog))
7,380311, okay good night ,okay good night,,,declarative,eng,3.0,3,242,Clark,co adj n,INV,Cindy,Investigator,Shem,36.42785272798209,male,,,,Eng-NA,2,35,1743,1741,3442,36,goodnight,ADS,night night_goodnight,1,other,(NP (JJ okay) (JJ good) (NN night))
8,394906, good night sleep tight wake up bright in the morning light do what's right with all your might ,good night sleep tight wake up bright in the morning light do what right with all your might,,,declarative,eng,19.0,18,1169,Clark,adj n n adj n adv adj prep det:art n adj v pro:int adv prep qn det:poss mod,INV,Cindy,Investigator,Shem,36.1650136553112,male,,,,Eng-NA,2,35,1743,1741,3439,36,goodnight,ADS,night night_goodnight,1,other,(S (NP (NP (JJ good) (NN night) (NN sleep) (ADJP (JJ tight))) (VB wake) (PRT (RP up)) (ADVP (RB bright)) (PP (IN in) (NP (DT the) (NN morning) (NN light)))) (VP (VB do) (SBAR (WHNP (WP what)) (S (VP (JJ right) (PP (IN with) (NP (PDT all) (PRP$ your) (NN might))))))))
9,495444, good night ,good night,,,declarative,eng,2.0,2,352,NewEngland,adj n,MOT,,Mother,John,31.72344401322409,male,,,,Eng-NA,2,39,1903,1901,3697,32,goodnight,ADS,night night_goodnight,1,other,(NP (JJ good) (NN night))
