id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
684409,i would not put that blanket over my head,I will not put that blanket over my head,NA,NA,declarative,eng,11,9,418,Peters,pro:sub mod neg v pro:dem n adv det:poss n,FAT,NA,Father,16.78884576685353,male,1295.458,1297.06,s,Eng-NA,2,43,2344,2341,4176,17,blanket,ADS,blankie_blanket,1,other,Seth,010424a,,,,
684415,that blanket does not smell very good,that blanket do not smell very good,NA,NA,declarative,eng,8,7,419,Peters,det:dem n mod neg v adv adj,FAT,NA,Father,16.78884576685353,male,1297.06,1298.627,s,Eng-NA,2,43,2344,2341,4176,17,blanket,ADS,blankie_blanket,1,other,Seth,010424a,,,,
710953,walking by the blanket and the pillow,walk by the blanket and the pillow,NA,NA,question,eng,8,7,322,Peters,part prep det:art n coord det:art n,FAT,NA,Father,18.230353806032976,male,1503.667,1505.397,s,Eng-NA,2,43,2344,2341,4192,18,blanket,ADS,blankie_blanket,1,other,Seth,010607a,,,,
721180,a blanket,a blanket,NA,NA,declarative,eng,2,2,178,Peters,phon n,CHI,Seth,Target_Child,20.066120454218773,male,459.212,464.907,s,Eng-NA,2,43,2341,2341,4200,20,blanket,ADS,blankie_blanket,1,child,Seth,010802,,,,
721251,n blanket,n blanket,NA,NA,declarative,eng,2,2,182,Peters,phon n,CHI,Seth,Target_Child,20.066120454218773,male,470.563,476.507,s,Eng-NA,2,43,2341,2341,4200,20,blanket,ADS,blankie_blanket,1,child,Seth,010802,,,,
739351,n blanket,n blanket,NA,NA,declarative,eng,2,2,599,Peters,phon n,CHI,Seth,Target_Child,20.066120454218773,male,1678.594,1682.021,s,Eng-NA,2,43,2341,2341,4200,20,blanket,ADS,blankie_blanket,1,child,Seth,010802,,,,
750123,ninight with a blanket,ninight with a blanket,NA,NA,declarative,eng,4,4,440,Peters,chi prep det:art n,FAT,NA,Father,21.52610936569539,male,1008.83,1012.833,s,Eng-NA,2,43,2344,2341,4211,22,blanket,ADS,blankie_blanket,1,other,Seth,010916b,,,,
933657,you can have your own peek_a_boo blanket,you can have your own peek_a_boo blanket,NA,NA,declarative,eng,7,7,287,Rollins,pro:per mod v det:poss adj co n,MOT,NA,Mother,12.000246411630629,NA,487.49,489.81,s,Eng-NA,2,47,2532,2530,4697,12,blanket,ADS,blankie_blanket,1,other,TT,tt12,,,,
943551,no that's not a blanket honey,no that not a blanket honey,NA,NA,declarative,eng,7,6,616,Rollins,co pro:dem neg det:art n n,MOT,NA,Mother,12.000246411630629,NA,1266.513,1270.265,s,Eng-NA,2,47,2532,2530,4650,12,blanket,ADS,blankie_blanket,1,other,NB,nb12,,,,
992675,i wanna bring a blanket,I want bring a blanket,NA,NA,declarative,eng,6,5,78,Gleason,pro:sub v v det:art n,CHI,David,Target_Child,50.03388159921148,male,297.251,297.483,s,Eng-NA,2,49,2572,2572,4924,50,blanket,ADS,blankie_blanket,1,child,David,david,,,,
