id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range,subset,filename
2386729,if i hafta go to the bathroom i won't go,if I have go to the I will go,NA,NA,declarative,eng,11,10,820,Braunwald,conj pro:sub mod v prep det:art pro:sub mod v,FRI,NA,Visitor,51.362450974352704,female,1479.021,1480.971,s,Eng-NA,2,70,3909,3901,8734,51,bathroom,ADL,potty_bathroom,1,other,Laura,040311c,355.194451457074,169.553025508231,489.717446115604,-320.164420607373,other-ADL,other-bathroom1
17529716,she must have gone into the bathroom to sit on her potty,she must have go into the to sit on her pot,NA,NA,declarative,eng,14,12,758,Providence,pro:sub mod aux part prep det:art inf v prep det:poss adj,MOT,NA,Mother,19.3289389925871,female,1936.843,1941.151,s,Eng-NA,21,336,23511,23510,43412,19,bathroom,ADL,potty_bathroom,1,other,Naima,010710,246.757678175728,77.9988347820362,496.613787449893,-418.614952667857,other-ADL,other-bathroom2
17671062,you go to the bathroom on the potty right,you go to the on the pot right,NA,NA,question,eng,10,9,446,Providence,pro:per v prep det:art prep det:art adj co,MOT,NA,Mother,18.6246124150393,male,1024.016,1038,s,Eng-NA,21,336,23532,23530,43533,19,bathroom,ADL,potty_bathroom,1,other,William,010619,279.081893636183,69.9935672109715,510.33208357397,-440.338516362999,other-ADL,other-bathroom3
2351158,she took it out of the bathroom,she take it out of the,NA,NA,declarative,eng,7,7,96,Braunwald,pro:sub v pro:per adv prep det:art,MOT,NA,Mother,30.132035565412,female,196.159,197.726,s,Eng-NA,2,70,3902,3901,8663,30,bathroom,ADL,potty_bathroom,1,other,Laura,020604,169.341855102921,80.5780538874548,354.61838387281,-274.040329985356,other-ADL,other-bathroom4
693062,in the bathroom we go,in the we go,NA,NA,declarative,eng,4,5,505,Peters,prep det:art pro:sub v,FAT,NA,Father,17.5260272284852,male,1454.293,1455.535,s,Eng-NA,2,43,2344,2341,4185,18,bathroom,ADL,potty_bathroom,1,other,Seth,010516a,165.59665127876,123.433295372798,371.231061085598,-247.7977657128,other-ADL,other-bathroom5
2359952,that medicine makes me hafta go to the bathroom,that medicine make me have go to the,NA,NA,declarative,eng,10,9,216,Braunwald,det:dem n v pro:obj mod v prep det:art,SIS,NA,Sister,39.5264789831413,female,596.495,599.665,s,Eng-NA,2,70,3904,3901,8692,40,bathroom,ADL,potty_bathroom,1,other,Laura,030316a,359.703539292238,109.217323606168,523.308291371378,-414.090967765211,other-ADL,other-bathroom6
2846248,oh and the the vegetables did they come back from the bathroom,oh and the vegetable do they come back from the,NA,NA,question,eng,12,12,126,NewmanRatner,co coord det:art n mod pro:sub v adv prep det:art,EXP,Clinician,Investigator,24.0004928232613,male,347.071,349.514,s,Eng-NA,2,76,5743,5742,11141,24,bathroom,ADL,potty_bathroom,1,other,4858CM,4858CM-24,277.674096629502,104.780178379957,415.865519356911,-311.085340976954,other-ADL,other-bathroom7
2083635,why didn't you just go to the bathroom,why do you just go to the,NA,NA,question,eng,9,8,598,MacWhinney,pro:int mod pro:per adv v prep det:art,FAT,Brian,Father,64.7569765292922,male,1614.631,1616.268,s,Eng-NA,2,62,3429,3427,7804,65,bathroom,ADL,potty_bathroom,1,other,Mark,070318,138.714980269084,75.0940627125479,355.532731467912,-280.438668755365,other-ADL,other-bathroom8
17435417,and the father's in the bathroom combing his hair,and the father in the comb his hair,NA,NA,declarative,eng,10,9,680,Providence,coord det:art n prep det:art part det:poss n,MOT,NA,Mother,20.8874925563153,female,1119.013,1125,s,Eng-NA,21,336,23497,23495,43327,21,bathroom,ADL,potty_bathroom,1,other,Lily,010827,234.840268730404,99.972162831251,477.120120391233,-377.147957559982,other-ADL,other-bathroom9
2420247,let's come back to the bathroom,let come back to the,NA,NA,declarative,eng,6,6,905,Soderstrom,v v adv prep det:art,FAT,Jim,Father,5.98574919402862,male,1665.142,1666.669,s,Eng-NA,2,71,3919,3918,9458,6,bathroom,ADL,potty_bathroom,1,other,Joseph,000530,256.584811305041,116.287512986723,401.342807325784,-285.05529433906,other-ADL,other-bathroom10
