,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,317409, birdie ,bird,,,declarative,eng,2.0,1,50,Valian,n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,35,1702,1702,3675,25,birdie,CDS,birdie_bird,0,child,(NP (NN bird))
1,317410, a birdie ,a bird,,,declarative,eng,3.0,2,51,Valian,det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(NP (DT a) (NN bird))
2,317413, what do you think the kitty would think of the birdie ,what do you think the kitty will think of the bird,,,question,eng,13.0,11,54,Valian,pro:int mod pro:per v det:art n mod v prep det:art n,INV,,Investigator,,25.0990780098154,female,,,,Eng-NA,2,35,1703,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT the) (NN kitty)) (VP (MD will) (VP (VB think) (PP (IN of) (NP (DT the) (NN bird))))))))))
3,317428, oh that's nice a hug for the birdie that's nice ,oh that nice a hug for the bird that nice,,,declarative,eng,13.0,10,60,Valian,co pro:dem adj det:art n prep det:art n pro:dem adj,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(FRAG (UH oh) (NP (NP (ADJP (IN that) (JJ nice)) (DT a) (NN hug)) (PP (IN for) (NP (DT the) (NN bird))) (ADJP (IN that) (JJ nice))))
4,317435, do you want the birdie to talk with investigator ,do you want the bird to talk with Investigator,,,question,eng,10.0,9,63,Valian,mod pro:per v det:art n prep n prep n:prop,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SQ (VBP do) (NP (PRP you)) (VP (VB want) (S (NP (DT the) (NN bird)) (VP (TO to) (VP (VB talk) (PP (IN with) (NP (NNP Investigator))))))))
5,317437, what should the birdie say ,what should the bird say,,,question,eng,6.0,5,64,Valian,pro:int mod det:art n co,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SBAR (WHNP (WP what)) (SQ (MD should) (NP (DT the) (NN bird)) (VP (VB say))))
6,317521, what do you think the birdie would like to eat ,what do you think the bird will like to eat,,,question,eng,12.0,10,89,Valian,pro:int mod pro:per v det:art n mod v inf v,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT the) (NN bird)) (VP (MD will) (VP (VB like) (S (VP (TO to) (VP (VB eat)))))))))))
7,317531, oh we have a birdie in your poem ,oh we have a bird in your poem,,,declarative,eng,9.0,8,91,Valian,co pro:sub v det:art n prep det:poss n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(S (UH oh) (NP (PRP we)) (VP (VBP have) (NP (DT a) (NN bird)) (PP (IN in) (NP (PRP$ your) (NN poem)))))
8,317535, what does that birdie eat ,what do that bird eat,,,question,eng,7.0,5,92,Valian,pro:int mod pro:dem n v,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SBAR (WHNP (WP what)) (SQ (VBP do) (NP (DT that) (NN bird)) (VP (VB eat))))
9,318298, birdie inside ,bird inside,,,declarative,eng,3.0,2,200,Valian,n adv,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,35,1702,1702,3675,25,birdie,CDS,birdie_bird,0,child,(NP (NP (NN bird)) (ADVP (RB inside)))
10,318310, do you think we should let the birdie come inside ,do you think we should let the bird come inside,,,question,eng,12.0,10,201,Valian,mod pro:per v pro:sub mod v det:art n v adv,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB let) (S (NP (DT the) (NN bird)) (VP (VB come) (ADVP (RB inside))))))))))
11,318404, yeah birdie birdie ,yeah bird bird,,,declarative,eng,5.0,3,206,Valian,co n n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,35,1702,1702,3675,25,birdie,CDS,birdie_bird,0,child,(FRAG (UH yeah) (NN bird) (NN bird))
12,318416, birdie eat ,bird eat,,,declarative,eng,3.0,2,207,Valian,n v,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,35,1702,1702,3675,25,birdie,CDS,birdie_bird,0,child,(S (NP (NN bird)) (VP (VBP eat)))
13,318439, and the birdie would eat ,and the bird will eat,,,question,eng,7.0,5,208,Valian,coord det:art n mod v,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(S (CC and) (S (NP (DT the) (NN bird)) (VP (MD will) (VP (VB eat)))))
14,318462, what would you give the birdie to eat ,what will you give the bird to eat,,,question,eng,10.0,8,210,Valian,pro:int mod pro:per v det:art n inf v,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,birdie,CDS,birdie_bird,0,other,(SBARQ (WHNP (WP what)) (SQ (MD will) (NP (PRP you)) (VP (VB give) (NP (DT the) (NN bird)) (SBAR (S (VP (TO to) (VP (VB eat))))))))
15,318610, let birdie in ,let bird in,,,declarative,eng,5.0,3,222,Valian,v n adv,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,35,1702,1702,3675,25,birdie,CDS,birdie_bird,0,child,(S (VP (VB let) (S (NP (NN bird)) (PRT (RP in)))))
