,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,317893, hot dog ,hot dog,,,declarative,eng,2.0,2,99,Valian,adj n,MOT,,Mother,,25.75617569149264,female,,,,Eng-NA,2,35,1704,1702,3679,26,dog,ADS,doggy_dog,1,other,(NP (JJ hot) (NN dog))
1,317901, hot dog ,hot dog,,,declarative,eng,2.0,2,100,Valian,adj n,CHI,,Target_Child,,25.75617569149264,female,,,,Eng-NA,2,35,1702,1702,3679,26,dog,ADS,doggy_dog,1,child,(NP (JJ hot) (NN dog))
2,317943, it looks like horsie but i think it's a dog ,it look like horse but I think it a dog,,,declarative,eng,13.0,10,34,Valian,pro:per v prep n conj pro:sub v pro:per det:art n,INV,,Investigator,,27.42766791925912,female,,,,Eng-NA,2,35,1703,1702,3684,27,dog,ADS,doggy_dog,1,other,(S (NP (PRP it)) (VP (VBP look) (PP (IN like) (NP (NN horse)))))
3,318661, a dog ,a dog,,,declarative,eng,2.0,2,178,Valian,det:art n,CHI,,Target_Child,,21.690383786114705,female,,,,Eng-NA,2,35,1702,1702,3677,22,dog,ADS,doggy_dog,1,child,(NP (DT a) (NN dog))
4,319011, and this is a dog that looks kinda like a horse but it's a dog ,and this be a dog that look kinda like a horse but it a dog,,,declarative,eng,18.0,15,124,Valian,coord pro:dem cop det:art n adv v adv co det:art n conj pro:per det:art n,MOT,,Mother,,27.42766791925912,female,,,,Eng-NA,2,35,1704,1702,3684,27,dog,ADS,doggy_dog,1,other,(S (CC and) (S (NP (DT this)) (VP (VBP be) (NP (NP (DT a) (NN dog)) (SBAR (WHNP (WDT that)) (S (VP (VBP look) (ADVP (RB kinda)) (PP (IN like) (NP (DT a) (NN horse))))))))) (CC but) (S (NP (PRP it)) (NP (DT a) (NN dog))))
5,319960, yeah a collie dog ,yeah a collie dog,,,declarative,eng,4.0,4,101,Valian,co det:art n n,MOT,,Mother,,27.493377687426847,female,,,,Eng-NA,2,35,1704,1702,3686,27,dog,ADS,doggy_dog,1,other,(FRAG (RB yeah) (NP (DT a) (NN collie) (NN dog)))
6,320067, does your dog go in the garage ,do your dog go in the garage,,,question,eng,8.0,7,263,Valian,mod det:poss n v prep det:art n,MOT,,Mother,,25.75617569149264,female,,,,Eng-NA,2,35,1704,1702,3679,26,dog,ADS,doggy_dog,1,other,(SQ (VBP do) (NP (PRP$ your) (NN dog)) (VP (VB go) (PP (IN in) (NP (DT the) (NN garage)))))
7,320099, what's your dog's name ,what your dog name,,,question,eng,7.0,4,265,Valian,pro:int det:poss adj n,MOT,,Mother,,25.75617569149264,female,,,,Eng-NA,2,35,1704,1702,3679,26,dog,ADS,doggy_dog,1,other,(SBAR (WHNP (WP what)) (S (NP (PRP$ your) (NN dog)) (VP (NN name))))
8,321246, this is the dog ,this be the dog,,,declarative,eng,5.0,4,342,Valian,pro:dem cop det:art n,CHI,,Target_Child,,21.690383786114705,female,,,,Eng-NA,2,35,1702,1702,3677,22,dog,ADS,doggy_dog,1,child,(S (NP (DT this)) (VP (VB be) (NP (DT the) (NN dog))))
9,321335, what is lass what is the dog watching ,what be the dog watch,,,question,eng,7.0,8,347,Valian,pro:int aux det:art n part,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(SBAR (WHNP (WP what)) (S (VP (VB be) (NP (DT the) (NN dog) (VB watch)))))
10,321398, what's the dog gonna say ,what the dog go say,,,question,eng,8.0,5,351,Valian,pro:int det:art n part v,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(SBAR (WHNP (WP what)) (S (S (NP (DT the) (NN dog)) (VP (VBP go))) (VP (VBP say))))
11,321445, does the dog want something ,do the dog want something,,,question,eng,6.0,5,354,Valian,mod det:art n v pro:indef,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(SQ (VBP do) (NP (DT the) (NN dog)) (VP (VB want) (NP (NN something))))
12,321595, is he a tired dog ,be he a tire dog,,,question,eng,7.0,5,364,Valian,cop pro:sub det:art part n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(VP (VB be) (NP (PRP he)) (NP (DT a) (NN tire) (NN dog)))
13,321622, or is he a hungry dog ,or be he a hungry dog,,,question,eng,7.0,6,366,Valian,coord cop pro:sub det:art adj n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(S (CC or) (VP (VB be) (S (NP (PRP he)) (NP (DT a) (JJ hungry) (NN dog)))))
14,321637, it's a xxx dog ,it a dog,,,declarative,eng,4.0,4,367,Valian,pro:per det:art n,CHI,,Target_Child,,21.690383786114705,female,,,,Eng-NA,2,35,1702,1702,3677,22,dog,ADS,doggy_dog,1,child,(S (NP (PRP it)) (NP (DT a) (NN dog)))
15,321823, does the dog have a name ,do the dog have a name,,,question,eng,7.0,6,378,Valian,mod det:art n v det:art n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(SQ (VBP do) (NP (DT the) (NN dog)) (VP (VB have) (NP (DT a) (NN name))))
16,321875, dog have a name ,dog have a name,,,declarative,eng,4.0,4,382,Valian,n v det:art n,CHI,,Target_Child,,21.690383786114705,female,,,,Eng-NA,2,35,1702,1702,3677,22,dog,ADS,doggy_dog,1,child,(S (NP (NN dog)) (VP (VBP have) (NP (DT a) (NN name))))
17,321891, what's the dog's name ,what the dog name,,,question,eng,7.0,4,383,Valian,pro:int det:art adj n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(SBAR (WHNP (WP what)) (S (NP (DT the) (NN dog)) (VP (NN name))))
18,321921, dog ,dog,,,declarative,eng,1.0,1,313,Valian,v,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(NP (NN dog))
19,321954, he said to the dog ,he say to the dog,,,declarative,eng,6.0,5,315,Valian,pro:sub v prep det:art n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(S (NP (PRP he)) (VP (VBP say) (PP (IN to) (NP (DT the) (NN dog)))))
20,321969, and a hot dog ,and a hot dog,,,declarative,eng,4.0,4,435,Valian,coord det:art adj n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,dog,ADS,doggy_dog,1,other,(FRAG (CC and) (NP (DT a) (JJ hot) (NN dog)))
21,322027, no i'm not your mother i'm a dog ,no I not your mother I a dog,,,declarative,eng,10.0,8,318,Valian,co pro:sub neg det:poss n pro:sub det:art n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(FRAG (UH no) (NP (PRP I)) (RB not) (NP (PRP$ your) (NN mother)) (NP (PRP I)) (NP (DT a) (NN dog)))
22,322041, said the dog ,say the dog,,,declarative,eng,4.0,3,319,Valian,v det:art n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(S (VP (VB say) (NP (DT the) (NN dog))))
23,322060, the kitten wasn't his mother the hen wasn't his mother the dog wasn't his mother so he went on ,the kitten be his mother the hen be his mother the dog be his mother so he go on,,,declarative,eng,29.0,19,320,Valian,det:art n cop det:poss n det:art n cop det:poss n det:art n cop det:poss n conj pro:sub v adv,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(S (NP (DT the) (NN kitten)) (VP (VB be) (NP (PRP$ his) (NN mother))) (NP (DT the) (NN hen)) (VP (VB be) (NP (PRP$ his) (NN mother))) (NP (DT the) (NN dog)) (VP (VB be) (NP (PRP$ his) (NN mother))) (SBAR (IN so) (S (NP (PRP he)) (VP (VBP go) (PRT (RP on))))))
24,322208, you want the dog to drive the truck ,you want the dog to drive the truck,,,question,eng,8.0,8,402,Valian,pro:per v det:art n inf v det:art n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,35,1704,1702,3677,22,dog,ADS,doggy_dog,1,other,(S (NP (PRP you)) (VP (VBP want) (S (NP (DT the) (NN dog)) (VP (TO to) (VP (VB drive) (NP (DT the) (NN truck)))))))
25,322262, the kitten and the hen weren't his mother the dog and the cow weren't his mother did he have a mother ,the kitten and the hen be his mother the dog and the cow be his mother do he have a mother,,,question,eng,26.0,21,331,Valian,det:art n coord det:art n cop det:poss n det:art n coord det:art n cop det:poss n mod pro:sub v det:art n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(S (NP (NP (DT the) (NN kitten)) (CC and) (NP (DT the) (NN hen))) (VP (VBP be) (NP (PRP$ his) (NN mother))) (NP (DT the) (NN dog)) (CC and) (S (NP (DT the) (NN cow)) (VP (VBP be) (NP (PRP$ his) (NN mother)))) (VBP do) (S (NP (PRP he)) (VP (VB have) (NP (DT a) (NN mother)))))
26,322879, oh there's the collie dog and the horse and the zebra ,oh there the collie dog and the horse and the zebra,,,declarative,eng,12.0,11,10,Valian,co pro:exist det:art n n coord det:art n coord det:art n,INV,,Investigator,,29.230579683361054,female,,,,Eng-NA,2,35,1703,1702,3694,29,dog,ADS,doggy_dog,1,other,(PRN (S (VP (UH oh) (ADVP (RB there)) (NP (NP (DT the) (NN collie) (NN dog)) (CC and) (NP (DT the) (NN horse)) (CC and) (NP (DT the) (NN zebra))))))
27,323243, you are not a kitten you are not a hen you are not a dog or a cow or a boat or a plane or a snort ,you be not a kitten you be not a hen you be not a dog or a cow or a boat or a plane or a snort,,,declarative,eng,30.0,27,380,Valian,pro:per cop neg det:art n pro:per cop neg det:art n pro:per cop neg det:art n coord det:art n coord det:art n coord det:art n coord det:art n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(S (NP (PRP you)) (VP (VBP be) (RB not) (NP (DT a) (NN kitten))) (NP (PRP you)) (VP (VBP be) (RB not) (NP (DT a) (NN hen))) (NP (PRP you)) (VP (VBP be) (RB not) (NP (NP (DT a) (NN dog)) (CC or) (NP (DT a) (NN cow))) (CC or) (NP (NP (DT a) (NN boat)) (CC or) (NP (DT a) (NN plane))) (CC or) (NP (DT a) (NN snort))))
28,323902, is that a hot dog ,be that a hot dog,,,question,eng,6.0,5,63,Valian,cop comp det:art adj n,MOT,,Mother,,29.230579683361054,female,,,,Eng-NA,2,35,1704,1702,3694,29,dog,ADS,doggy_dog,1,other,(S (VP (VB be) (NP (DT that) (DT a) (JJ hot) (NN dog))))
29,323921, hot dog ,hot dog,,,declarative,eng,2.0,2,64,Valian,adj n,CHI,,Target_Child,,29.230579683361054,female,,,,Eng-NA,2,35,1702,1702,3694,29,dog,ADS,doggy_dog,1,child,(NP (JJ hot) (NN dog))
30,323938, hot dog ,hot dog,,,declarative,eng,2.0,2,65,Valian,adj n,MOT,,Mother,,29.230579683361054,female,,,,Eng-NA,2,35,1704,1702,3694,29,dog,ADS,doggy_dog,1,other,(NP (JJ hot) (NN dog))
31,324381, dog ,dog,,,declarative,eng,1.0,1,439,Valian,v,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(NP (NN dog))
32,324545, dog ,dog,,,declarative,eng,1.0,1,448,Valian,v,CHI,,Target_Child,,21.65752890203084,female,,,,Eng-NA,2,35,1702,1702,3681,22,dog,ADS,doggy_dog,1,child,(NP (NN dog))
33,324561, hot dog ,hot dog,,,declarative,eng,2.0,2,449,Valian,adj n,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,35,1704,1702,3681,22,dog,ADS,doggy_dog,1,other,(NP (JJ hot) (NN dog))
34,325170, i think it's a dog ,I think it a dog,,,declarative,eng,6.0,5,86,Valian,pro:sub v pro:per det:art n,INV,,Investigator,,27.26339349883981,female,,,,Eng-NA,2,35,1703,1702,3696,27,dog,ADS,doggy_dog,1,other,(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (NP (DT a) (NN dog))))))
35,325189, it's a funny kind of dog isn't it ,it a fun kind of dog be it,,,question,eng,13.0,8,87,Valian,pro:per det:art adj adj prep n cop pro:per,INV,,Investigator,,27.26339349883981,female,,,,Eng-NA,2,35,1703,1702,3696,27,dog,ADS,doggy_dog,1,other,(S (NP (PRP it)) (NP (NP (DT a) (JJ fun) (NN kind)) (PP (IN of) (NP (NN dog)))) (S (VP (VB be) (NP (PRP it)))))
36,325242, dog walks ,dog walk,,,declarative,eng,3.0,2,90,Valian,n v,CHI,,Target_Child,,27.26339349883981,female,,,,Eng-NA,2,35,1702,1702,3696,27,dog,ADS,doggy_dog,1,child,(NP (NN dog) (NN walk))
37,325282, it's a dog ,it a dog,,,declarative,eng,4.0,3,92,Valian,pro:per det:art n,CHI,,Target_Child,,27.26339349883981,female,,,,Eng-NA,2,35,1702,1702,3696,27,dog,ADS,doggy_dog,1,child,(S (NP (PRP it)) (NP (DT a) (NN dog)))
38,326242, child that's not a dog ,Child that not a dog,,,declarative,eng,6.0,5,667,Valian,n:prop pro:dem neg det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,35,1704,1702,3675,25,dog,ADS,doggy_dog,1,other,(NP (NN Child) (NP (NP (DT that)) (RB not) (NP (DT a) (NN dog))))
39,328087, a dog ,a dog,,,declarative,eng,2.0,2,603,Valian,det:art n,CHI,,Target_Child,,21.92036797470174,female,,,,Eng-NA,2,35,1702,1702,3678,22,dog,ADS,doggy_dog,1,child,(NP (DT a) (NN dog))
40,328106, a dog ,a dog,,,declarative,eng,2.0,2,604,Valian,det:art n,CHI,,Target_Child,,21.92036797470174,female,,,,Eng-NA,2,35,1702,1702,3678,22,dog,ADS,doggy_dog,1,child,(NP (DT a) (NN dog))
41,328111, that's a collie dog ,that a collie dog,,,declarative,eng,5.0,4,241,Valian,pro:dem det:art n n,INV,,Investigator,,27.26339349883981,female,,,,Eng-NA,2,35,1703,1702,3696,27,dog,ADS,doggy_dog,1,other,(NP (IN that) (DT a) (NN collie) (NN dog))
42,328135, what's that dog say ,what that dog say,,,question,eng,5.0,4,606,Valian,pro:int pro:dem v v,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,35,1704,1702,3678,22,dog,ADS,doggy_dog,1,other,(SBAR (WHNP (WP what)) (S (NP (DT that) (NN dog)) (VP (VBP say))))
43,328158, it's a special kind of dog ,it a special kind of dog,,,declarative,eng,7.0,6,243,Valian,pro:per det:art n n prep n,INV,,Investigator,,27.26339349883981,female,,,,Eng-NA,2,35,1703,1702,3696,27,dog,ADS,doggy_dog,1,other,(S (NP (PRP it)) (NP (NP (DT a) (JJ special) (NN kind)) (PP (IN of) (NP (NN dog)))))
44,328286, you want the dog to stand up too ,you want the dog to stand up too,,,question,eng,8.0,8,615,Valian,pro:per v det:art n inf v adv adv,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,35,1704,1702,3678,22,dog,ADS,doggy_dog,1,other,(S (NP (PRP you)) (VP (VBP want) (S (NP (DT the) (NN dog)) (VP (TO to) (VP (VB stand) (PRT (RP up)) (ADVP (RB too)))))))
45,328339, oh the dog might hafta lean on my foot also because the rug is bumpy ,oh the dog might have lean on my foot also because the rug be bump,,,declarative,eng,19.0,15,618,Valian,co det:art n n mod v prep det:poss n adv conj det:art n cop adj,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,35,1704,1702,3678,22,dog,ADS,doggy_dog,1,other,(S (UH oh) (NP (DT the) (NN dog)) (VP (MD might) (VP (VB have) (VP (VB lean) (PP (IN on) (NP (PRP$ my) (NN foot))) (SBAR (ADVP (RB also)) (IN because) (S (NP (DT the) (NN rug)) (VP (VBP be) (NP (NN bump)))))))))
