,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,291404, hi duck ,hi duck,,,declarative,eng,2.0,2,316,Valian,co n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(LST (UH hi) (UH duck))
1,291417, duck how are you today ,duck how be you today,,,question,eng,6.0,5,318,Valian,n pro:rel cop pro:per adv:tem,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(S (VP (VB duck) (SBAR (WHADVP (WRB how)) (S (VP (VB be) (NP (PRP you)) (NP (NN today)))))))
2,291520, oh the chicken caught the duck ,oh the chicken catch the duck,,,declarative,eng,7.0,6,329,Valian,co det:art n v det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(S (RB oh) (NP (DT the) (NN chicken)) (VP (VB catch) (NP (DT the) (NN duck))))
3,291544, eat this duck ,eat this duck,,,declarative,eng,3.0,3,332,Valian,v det:dem n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(S (VP (VB eat) (NP (DT this) (NN duck))))
4,291552, eat this duck ,eat this duck,,,declarative,eng,3.0,3,333,Valian,v det:dem n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(S (VP (VB eat) (NP (DT this) (NN duck))))
5,291567, eat this duck ,eat this duck,,,declarative,eng,3.0,3,334,Valian,v det:dem n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(S (VP (VB eat) (NP (DT this) (NN duck))))
6,291606, duck eat this ,duck eat this,,,declarative,eng,3.0,3,338,Valian,n v det:dem,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(S (NP (NN duck)) (VP (VB eat) (NP (DT this))))
7,291614, the duck is eating the stroller ,the duck be eat the stroll,,,question,eng,10.0,6,339,Valian,det:art n aux part det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(S (NP (DT the) (NN duck)) (VP (VB be) (VP (VB eat) (NP (DT the) (NN stroll)))))
8,291667, duck ,duck,,,declarative,eng,1.0,1,345,Valian,n,CHI,,Target_Child,,25.0990780098154,female,,,,Eng-NA,2,33,1704,1704,3306,25,duck,ADS,duckie_duck,1,child,(NP (NN duck))
9,291673, here's the duck ,here the duck,,,declarative,eng,4.0,3,346,Valian,pro:exist det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(FRAG (ADVP (RB here)) (NP (DT the) (NN duck)))
10,291831, the duck came over to visit me ,the duck come over to visit me,,,declarative,eng,8.0,7,363,Valian,det:art n v adv inf v pro:obj,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(S (NP (DT the) (NN duck)) (VP (VBD come) (ADVP (RP over)) (S (VP (TO to) (VP (VB visit) (NP (PRP me)))))))
11,291938, the duck xxx ,the duck,,,declarative,eng,2.0,3,374,Valian,det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(NP (DT the) (NN duck))
12,292007, what happened to the duck ,what happen to the duck,,,question,eng,6.0,5,379,Valian,pro:int v prep det:art n,MOT,,Mother,,25.0990780098154,female,,,,Eng-NA,2,33,1705,1704,3306,25,duck,ADS,duckie_duck,1,other,(SBAR (WHNP (WP what)) (S (VP (VBP happen) (PP (IN to) (NP (DT the) (NN duck))))))
13,292296, a duck ,a duck,,,declarative,eng,2.0,2,118,Valian,det:art n,CHI,,Target_Child,,27.42766791925912,female,,,,Eng-NA,2,33,1704,1704,3315,27,duck,ADS,duckie_duck,1,child,(NP (DT a) (NN duck))
14,292308, a duck ,a duck,,,declarative,eng,2.0,2,119,Valian,det:art n,MOT,,Mother,,27.42766791925912,female,,,,Eng-NA,2,33,1705,1704,3315,27,duck,ADS,duckie_duck,1,other,(NP (DT a) (NN duck))
15,292319, duck ,duck,,,declarative,eng,1.0,1,120,Valian,n,MOT,,Mother,,27.42766791925912,female,,,,Eng-NA,2,33,1705,1704,3315,27,duck,ADS,duckie_duck,1,other,(NP (NN duck))
